state,license_plate,year,model,make,color
CA,FY 4957,,Mariner Hybrid,Mercury,Fuchsia
CA,FZ 25443,2007,Crown Victoria,Ford,White
CA,FZL 6911,,,Dodge,Blue
CA,G15-09R,2007,,Ford,Blue
CA,G40 2IH,,Savana Cargo,GMC,Yellow
CA,G43 0FI,,Mariner,Mercury,Teal
CA,G52 4JQ,2011,,Chevrolet,White
CA,G60-53J,2007,tC,Scion,Navy
CA,G79-EZG,2009,Colorado,Chevrolet,Blue
CA,GAP-1309,,,Lexus,White
CA,GBW-4708,,,Volkswagen,Purple
CA,GDZ 636,,Tundra,Toyota,Green
CA,GDZ 762,,,Nissan,Green
CA,GE-5143,2011,,Toyota,Yellow
CA,GEV-2542,2012,,Chevrolet,Purple
CA,GFS L54,,,Chevrolet,Green
CA,GI7 B9E,2007,,Ford,Blue
CA,GIC-0215,,,Volkswagen,Maroon
CA,GID-422,,,Toyota,Lime
CA,GJ7 4031,,,Chevrolet,Silver
CA,GJT-0109,,Maxima,Nissan,Blue
CA,GK 2876,2008,,Ford,White
CA,GKL 447,,Camry Solara,Toyota,Lime
CA,GKX 479,,Routan,Volkswagen,Aqua
CA,GNH-033,,SRX,Cadillac,Lime
CA,GNL 734,2006,Corolla,Toyota,Gray
CA,GNL1062,2013,ATS,Cadillac,Navy
CA,GNY-676,2011,Grand Vitara,Suzuki,Aqua
CA,GQD-845,,,GMC,Silver
CA,GQL4945,,,Lexus,Gray
CA,GQS 033,,,Mazda,Yellow
CA,GRI 464,,RL,Acura,Fuchsia
CA,GRO 012,,Grand Caravan,Dodge,Navy
CA,GRP-4000,2010,,Toyota,Yellow
CA,GS6 1557,2007,,GMC,Fuchsia
CA,GUS-2807,2010,Eclipse,Mitsubishi,Lime
CA,GYD 245,,Freestar,Ford,Green
CA,GZH-973,2011,,Ford,Green
CA,H13-42T,2006,Spectra,Kia,Olive
CA,H49 1HY,,Jetta,Volkswagen,Yellow
CA,H67-CSH,2007,,Honda,Silver
CA,H70 5IO,2008,,Jeep,White
CA,H70-XAF,2005,,Kia,Navy
CA,H83 9EL,2011,,Lotus,Green
CA,H85-JZL,2012,,Kia,Olive
CA,HAM 992,2011,RX-8,Mazda,Black
CA,HAY 074,,,Chrysler,Aqua
CA,HBF 578,,Civic,Honda,Aqua
CA,HBW 932,2009,,Subaru,Fuchsia
CA,HCD 830,,,Toyota,Fuchsia
CA,HCJ 236,,,Chevrolet,Blue
CA,HDL 053,2012,A6,Audi,Silver
CA,HDV 947,,,Subaru,Fuchsia
CA,HDW 627,1986,Lesabre,Buick,Gray
CA,HFE 663,2012,,Cadillac,Navy
CA,HFN8976,,,Toyota,Gray
CA,HFW 797,,,Toyota,White
CA,HG 25071,2007,MAZDA6,Mazda,Lime
CA,HHX 956,2009,,Mazda,Lime
CA,HI-4641,,,Toyota,Maroon
CA,HIS 543,1996,Achieva,Oldsmobile,Lime
CA,HIV 499,2012,Maxima,Nissan,Green
CA,HIY 791,2012,,Porsche,Blue
CA,HJD 246,,Ridgeline,Honda,Navy
CA,HJO 161,2009,,Kia,Yellow
CA,HJX 663,2007,tC,Scion,Black
CA,HKB 699,2007,,Honda,Green
CA,HL 32545,,Sierra 2500HD,GMC,Teal
CA,HLE 087,,Soul,Kia,Green
CA,HLM3680,2006,,Nissan,Silver
CA,HLO 232,2012,Routan,Volkswagen,Yellow
CA,HLO 579,2008,,Toyota,Green
CA,HMC 836,,RAM 150,Dodge,Purple
CA,HMS 823,,,BMW,Gray
CA,HNT 415,2012,Silverado 1500,Chevrolet,Aqua
CA,HOB 515,,,Ford,Maroon
CA,HOK 565,,,Kia,Black
CA,HPH 096,2010,,Acura,Gray
CA,HPJ-212,1998,,Dodge,Aqua
CA,HPQ 686,2011,,Acura,Purple
CA,HQK 342,,,Mazda,Navy
CA,HQQ-2841,,,Toyota,Yellow
CA,HRO 939,,,Toyota,Aqua
CA,HRT8726,,Savana Cargo,GMC,Gray
CA,HSA5007,,,Chevrolet,Teal
CA,HSF-995,,,Honda,Green
CA,HSG 499,,Silverado 3500HD,Chevrolet,Olive
CA,HTD-2922,,Passat,Volkswagen,Olive
CA,HTM 062,,,Chevrolet,Gray
CA,HTU2902,1999,,Ford,Maroon
CA,HTY0892,2012,,GMC,Black
CA,HU0 B7Z,,,Chevrolet,Aqua
CA,HVE-3593,,,Acura,Olive
CA,HVV 567,2007,,Nissan,Teal
CA,HW0 O6V,,Maxima,Nissan,Olive
CA,HWD 294,,,Suzuki,Teal
CA,HWM 191,2007,,Chevrolet,Navy
CA,HXH 447,2007,Sierra 2500HD,GMC,Olive
CA,HXI 630,,,Volkswagen,Yellow
CA,HYB 484,2009,GS 350,Lexus,Aqua
CA,HZE 438,1990,300-Class,Mercedes-Benz,Navy
CA,HZN 006,,Kizashi,Suzuki,Yellow
CA,HZR-9420,2009,F-150,Ford,Teal
CA,I03 2TO,,,Saturn,Green
CA,I22-97U,,Dakota,Dodge,Teal
CA,I39-02P,,MX-5 Miata,Mazda,Purple
CA,I68-63Q,2012,,GMC,Silver
CA,I68-BZQ,2011,Acadia,GMC,Black
CA,I76-HST,,Eos,Volkswagen,Lime
CA,I80 1EH,,Express Cargo,Chevrolet,Gray
CA,I91 7YT,,A4,Audi,Gray
CA,IBD 862,2012,,Kia,Aqua
CA,ICR 448,,,Ford,Olive
CA,ICS 120,2006,,Land Rover,Yellow
CA,IDK-617,,,GMC,Silver
CA,IDM J52,2010,,Lexus,Black
CA,IDS 298,1998,,Dodge,Aqua
CA,IEV-0778,,,Nissan,Fuchsia
CA,IFX-710,2010,,Toyota,Fuchsia
CA,IHJ 787,,Silverado 3500HD,Chevrolet,Teal
CA,IHN-460,1998,,Dodge,Gray
CA,IIH-8840,,,Mazda,Silver
CA,IIY-4683,,,Ford,Olive
CA,IIZ-683,,,Kia,Olive
CA,IJC-634,2010,,Ferrari,Olive
CA,IK 3480,,Murano,Nissan,Olive
CA,IKL9879,,,Volkswagen,Blue
CA,IKM2371,2010,,Mitsubishi,Teal
CA,IL6 8947,2008,,Ford,Fuchsia
CA,IM-3474,,,Chevrolet,Green
CA,IND 422,2007,,Dodge,Aqua
CA,IOV 4136,2010,,Mazda,Teal
CA,IPE-305,,Silverado 1500,Chevrolet,Purple
CA,IQN3863,,,Ford,Blue
CA,IR 3658,2011,Titan,Nissan,Navy
CA,IS 4747,2010,Outlander,Mitsubishi,Blue
CA,IS-4774,,Accord,Honda,Silver
CA,ISG M52,2011,Silverado 2500HD,Chevrolet,Aqua
CA,IUO 019,2007,tC,Scion,Aqua
CA,IUZ-0562,,,Dodge,Olive
CA,IWC-4325,2005,,Chevrolet,Green
CA,IWI-117,1976,,GMC,Yellow
CA,IYX1512,2008,F-350 Super Duty,Ford,Black
CA,IZA 906,,Sierra 2500HD Classic,GMC,Green
CA,J 484341,2007,MAZDA6,Mazda,Blue
CA,J 955128,2009,,Lincoln,Olive
CA,J24 3PT,2007,tC,Scion,Black
CA,J63-SIR,,LS 460,Lexus,White
CA,J66 0BN,2011,,GMC,Olive
CA,J68 7HJ,,,Mercedes-Benz,Purple
CA,J90 6YL,2013,ILX,Acura,Silver
CA,JAV-6766,,,Chevrolet,Lime
CA,JAY-7432,,,Scion,Yellow
CA,JB2 5248,,,Nissan,Teal
CA,JBA-9904,,tC,Scion,Olive
CA,JBB 556,2007,,Chevrolet,White
CA,JBJ 854,,1500,Ram,White
CA,JCA-3547,,,Ford,Teal
CA,JCD 474,,Savana Cargo,GMC,Aqua
CA,JD5 J6T,,,Chevrolet,Black
CA,JDR-7046,,Forester,Subaru,Maroon
CA,JFN-609,2001,,Dodge,White
CA,JFP-369,,,BMW,Teal
CA,JH-8165,2008,GTI,Volkswagen,Black
CA,JHI 323,,,Porsche,Maroon
CA,JJP-0041,2009,Rabbit,Volkswagen,Yellow
CA,JLE D90,,RX 350,Lexus,Lime
CA,JLP 616,,,Acura,Navy
CA,JMG1897,,Silverado 2500HD,Chevrolet,Yellow
CA,JML 080,2012,,BMW,Silver
CA,JN 7770,,Acadia,GMC,Lime
CA,JOA 934,1986,Lesabre,Buick,Green
CA,JOW1687,,Magnum,Dodge,Teal
CA,JQA 8300,,,Ford,Green
CA,JQU 229,2012,Tribeca,Subaru,White
CA,JRE0728,2008,CLK-Class,Mercedes-Benz,Maroon
CA,JS 32543,,K1500 1/2ton Sub 4WD,GMC,Teal
CA,JSJ-6360,2006,Corolla,Toyota,Purple
CA,JT8 1946,2012,,Toyota,Green
CA,JUL-881,2009,Impreza,Subaru,Blue
CA,JWZ 936,2011,RX-8,Mazda,Lime
CA,JX 54155,2012,Flex,Ford,Silver
CA,JY 46889,,Golf,Volkswagen,White
CA,JY 71606,2012,S4,Audi,Black
CA,JZF9064,2011,,Suzuki,Fuchsia
CA,JZH-1270,2011,,Jaguar,Lime
CA,JZN-856,,Passat,Volkswagen,Maroon
CA,K 121525,2012,,GMC,Black
CA,K10 6JF,,,Toyota,Purple
CA,K43 7IG,,Sonoma,GMC,Purple
CA,K47-24Q,,,Ford,Maroon
CA,K76 4GH,2007,Colorado,Chevrolet,Aqua
CA,K87 6KP,,Sierra 1500,GMC,Blue
CA,KA6 0210,2006,,Toyota,Silver
CA,KAD 771,2012,,Toyota,Maroon
CA,KAJ-560,2007,Prius,Toyota,White
CA,KBZ 027,,,Volkswagen,Green
CA,KCH2894,,Silverado 3500HD,Chevrolet,Silver
CA,KCQ 034,2006,,Suzuki,Lime
CA,KCU 531,,Titan,Nissan,Purple
CA,KD-4252,2006,ION,Saturn,Black
CA,KDF 462,,,Toyota,Olive
CA,KDO 840,2011,,Honda,Lime
CA,KED 818,,,Buick,Fuchsia
CA,KEF-686,,Mariner,Mercury,Navy
CA,KEG-1770,2007,tC,Scion,Blue
CA,KEH 683,2009,,Chevrolet,Maroon
CA,KEW 330,,Cruze,Chevrolet,Silver
CA,KFC-967,,Entourage,Hyundai,Green
CA,KFC5218,,,Toyota,White
CA,KFM2130,2007,Outback,Subaru,Black
CA,KFR 139,,SRX,Cadillac,Fuchsia
CA,KGQ-473,,,Chevrolet,Fuchsia
CA,KGX 152,,Durango,Dodge,Black
CA,KHB-417,,Colorado,Chevrolet,Silver
CA,KIS8687,,CR-V,Honda,Yellow
CA,KIS9700,2008,Magnum,Dodge,White
CA,KIZ 696,2005,Spectra,Kia,Gray
CA,KKD 280,,Sequoia,Toyota,White
CA,KKK-2440,1998,,Dodge,Aqua
CA,KKL-4709,,1500,Ram,White
CA,KKP 655,2007,Impreza,Subaru,Teal
CA,KL4 1449,2009,Corvette,Chevrolet,Purple
CA,KLV 846,,,GMC,Olive
CA,KLX-258,,,Ford,White
CA,KMM 998,2008,,Chevrolet,Green
CA,KN-3449,,,Nissan,Purple
CA,KNB 817,2007,,Chevrolet,Aqua
CA,KNJ-630,,Rio,Kia,Maroon
CA,KNV-417,2000,,GMC,Silver
CA,KOF 404,,M6,BMW,Olive
CA,KOG-3656,2007,F-350 Super Duty,Ford,Green
CA,KOV 151,,Titan,Nissan,Olive
CA,KPE 4377,2010,LS 460,Lexus,Green
CA,KPQ 256,2012,Cruze,Chevrolet,Olive
CA,KQR 445,,Golf,Volkswagen,Blue
CA,KRE 934,,Silverado 3500HD,Chevrolet,Aqua
CA,KRL 028,2012,,BMW,Gray
CA,KRM3749,2005,,Mitsubishi,Navy
CA,KSD-3265,2010,,Mazda,Black
CA,KTI-6880,2012,,Volkswagen,Teal
CA,KUC-288,,,Honda,Fuchsia
CA,KVD8793,,,Chevrolet,Green
CA,KVL 822,2011,,Mazda,Navy
CA,KVS 336,,,Hyundai,Fuchsia
CA,KVV-2526,2007,,Chevrolet,Blue
CA,KWH 449,2011,CTS Coupe,Cadillac,Fuchsia
CA,KXK-6148,2007,,GMC,Teal
CA,KXQ 600,2007,,Chevrolet,Aqua
CA,KYE 819,,,Subaru,White
CA,KYU 581,2011,,Volkswagen,Maroon
CA,KZ7 C0V,,,Ford,Blue
CA,KZI 594,,Savana Cargo,GMC,Yellow
CA,KZS 217,2008,GTI,Volkswagen,Aqua
CA,KZW 125,2010,,Volkswagen,Gray
CA,L 225616,,,Chevrolet,Silver
CA,L20 5IV,2004,,Nissan,Green
CA,L37 1DG,,,Ford,Maroon
CA,L51 7OL,,Highlander,Toyota,Green
CA,LAH-7515,,,Kia,Silver
CA,LAZ-436,,Entourage,Hyundai,White
CA,LB 6795,,Caravan,Dodge,Black
CA,LBF 753,2009,Impreza,Subaru,Gray
CA,LBJ3540,,Enclave,Buick,Fuchsia
CA,LBU5662,,,Chevrolet,Maroon
CA,LCB 594,2007,Freestar,Ford,Olive
CA,LCU 217,,,Nissan,Black
CA,LCU 656,2011,CTS Coupe,Cadillac,Blue
CA,LCV 530,,,Dodge,Lime
CA,LE5 Z4S,2007,Colorado,Chevrolet,White
CA,LE8 M4W,2000,,GMC,Blue
CA,LEF-4305,,Express Cargo,Chevrolet,Gray
CA,LEL 681,2009,Navigator,Lincoln,Green
CA,LFC 059,2011,Evora,Lotus,Gray
CA,LFC 1450,2011,TSX,Acura,Olive
CA,LFI 459,,,Acura,Blue
CA,LFJ 155,2012,M6,BMW,Black
CA,LGW 559,2005,XL-7,Suzuki,White
CA,LHD-0298,,,Subaru,Black
CA,LHI 015,2012,Suburban,Chevrolet,Lime
CA,LI2 1023,2008,,Toyota,White
CA,LIG 062,,Econoline Wagon,Ford,Silver
CA,LJE8184,2011,,Acura,Purple
CA,LJS 003,,,Ford,Black
CA,LJS 497,,Colorado,Chevrolet,Navy
CA,LKG 429,,,Nissan,Aqua
CA,LKI 434,2012,,Chevrolet,Silver
CA,LLO 595,,,GMC,Teal
CA,LLY 523,,,Nissan,Navy
CA,LMI-194,,,GMC,Black
CA,LMM 526,2010,,Toyota,Yellow
CA,LMQ 293,,,Aston Martin,Aqua
CA,LMQ 800,,,Toyota,Teal
CA,LMR 416,2012,,Volkswagen,Olive
CA,LMY 616,,Sequoia,Toyota,Navy
CA,LNG 971,,Prius,Toyota,Maroon
CA,LNY-6273,2007,,Volkswagen,Yellow
CA,LOC 821,,Titan,Nissan,Aqua
CA,LOE 8234,,Town and Country,Chrysler,Silver
CA,LOH3351,2009,CR-V,Honda,White
CA,LOJ 799,,,Toyota,White
CA,LOW 387,2010,,Mitsubishi,Navy
CA,LPA-631,,,Toyota,Fuchsia
CA,LPI 021,2010,Silverado 3500HD,Chevrolet,Green
CA,LPQ 302,2012,,Audi,Navy
CA,LPS-423,,,Oldsmobile,Fuchsia
CA,LPU 184,,Achieva,Oldsmobile,White
CA,LPV 905,2007,,Toyota,Maroon
CA,LPZ 632,2012,Versa,Nissan,Yellow
CA,LQ8 0661,,Dakota,Ram,Yellow
CA,LQF 934,2006,Ram Pickup 1500,Dodge,Maroon
CA,LQO 115,,,Honda,Purple
CA,LQP 761,,Prius,Toyota,Aqua
CA,LQU-868,2009,Forester,Subaru,Lime
CA,LQY P47,,,Acura,Aqua
CA,LR 2662,,Frontier,Nissan,Maroon
CA,LRF 857,,,Chevrolet,Blue
CA,LRL 728,,,Nissan,Maroon
CA,LRO-112,1990,,Dodge,Silver
CA,LRV 854,2011,Acadia,GMC,Teal
CA,LRZ-403,,Colorado,Chevrolet,Maroon
CA,LTI 407,2008,Grand Caravan,Dodge,Yellow
CA,LTP5989,1998,Dakota,Dodge,Silver
CA,LTS 5598,,,Ford,Aqua
CA,LTT 904,,Charger,Dodge,Maroon
CA,LTU-8448,2012,F-150,Ford,Aqua
CA,LU-4655,,Relay,Saturn,Yellow
CA,LUA 753,2007,,Suzuki,Purple
CA,LUC 092,,Silverado 3500HD,Chevrolet,Aqua
CA,LUE 327,1996,,Oldsmobile,Aqua
CA,LVP 920,,,Dodge,Maroon
CA,LVT-7057,2012,Suburban,Chevrolet,Silver
CA,LWR 934,,Outlander,Mitsubishi,Olive
CA,LXI 720,,Focus,Ford,Black
CA,LXM 394,2013,ATS,Cadillac,Navy
CA,LXW 0543,2008,S4,Audi,Purple
CA,LZS 236,,RX-8,Mazda,Purple
CA,LZT 681,,,Cadillac,Blue
CA,M 401272,2007,S4,Audi,Aqua
CA,M 888014,,,Toyota,Fuchsia
CA,M 921676,,,Mercury,Blue
CA,M00 6HL,2008,Tahoe,Chevrolet,Blue
CA,M28-LGG,,,Toyota,White
CA,M31-YYU,1976,,GMC,Olive
CA,M34-BDQ,,,Suzuki,Yellow
CA,M51 4OL,,Flex,Ford,Black
CA,MAB 215,,tC,Scion,Fuchsia
CA,MAE 298,2008,7 Series,BMW,White
CA,MAQ 206,2009,,Cadillac,Blue
CA,MAQ 989,2012,Silverado 2500HD,Chevrolet,Aqua
CA,MAT 147,2008,,Mercedes-Benz,Gray
CA,MBH 520,,3500,Ram,Silver
CA,MCG 463,,,GMC,Silver
CA,MCR 492,2011,,Volkswagen,Black
CA,MDL 026,2006,,Porsche,Fuchsia
CA,MEC V42,,Sienna,Toyota,Silver
CA,MEI 803,2007,Accord,Honda,Green
CA,MEM-3290,2012,Escalade EXT,Cadillac,Navy
CA,MER 109,,,Chevrolet,Teal
CA,MFB 8221,2001,Sierra 1500,GMC,Olive
CA,MFH 969,2012,Escalade,Cadillac,Fuchsia
CA,MFJ 710,,Tundra,Toyota,Teal
CA,MFK 136,,,Dodge,Black
CA,MFY 092,,SRX,Cadillac,Gray
CA,MGQ 100,,Mariner,Mercury,Maroon
CA,MGU-069,2000,Explorer,Ford,Navy
CA,MIG 131,2007,tC,Scion,White
CA,MIT 089,,,Ram,Fuchsia
CA,MJF-6539,2010,,Mitsubishi,Yellow
CA,MJX 720,,Frontier,Nissan,Fuchsia
CA,MJY 513,,CLK-Class,Mercedes-Benz,Maroon
CA,MKK2719,,Grand Caravan,Dodge,Purple
CA,MKQ 977,2002,Town and Country,Chrysler,Gray
CA,MLH 004,,,Toyota,Aqua
CA,MLJ 966,,,Mercury,Fuchsia
CA,MLL1773,2007,Sierra 2500HD Classic,GMC,Maroon
CA,MLZ 276,,Accord,Honda,Black
CA,MMQ 543,,Kizashi,Suzuki,Lime
CA,MMR 178,,Titan,Nissan,Purple
CA,MNG 240,,Corolla,Toyota,Maroon
CA,MNH 024,,Spectra,Kia,Maroon
CA,MOU 400,2011,Golf,Volkswagen,Fuchsia
CA,MOY 031,2007,,GMC,Purple
CA,MPC 322,,,Cadillac,Maroon
CA,MPE 439,,,BMW,Lime
CA,MPN 129,,,Ford,Fuchsia
CA,MPN-259,2012,3500,Ram,Maroon
CA,MQN 046,,Sierra 2500,GMC,Olive
CA,MQT 482,2008,,Chevrolet,Aqua
CA,MR8 3863,2006,911,Porsche,Teal
CA,MRM3733,,,Toyota,Aqua
CA,MSU 059,,Impreza,Subaru,Blue
CA,MT 33638,2007,,Dodge,Teal
CA,MTC 2168,,,Ford,White
CA,MTE 174,,,Subaru,Yellow
CA,MTH9938,,Ranger,Ford,Yellow
CA,MU-9654,,Rabbit,Volkswagen,Gray
CA,MUF 169,2007,Freestar,Ford,Black
CA,MUM 497,2008,,Volkswagen,Blue
CA,MVM 430,,Corolla,Toyota,Gray
CA,MW 6008,,Silverado 3500HD,Chevrolet,Olive
CA,MWF 132,,,Cadillac,Gray
CA,MWL 783,2012,Colorado,Chevrolet,Fuchsia
CA,MZH 352,1998,,Dodge,Aqua
CA,MZH 832,,Ranger,Ford,White
CA,MZL 367,2008,Taurus,Ford,Lime
CA,MZW3001,2012,,Ram,Navy
CA,MZZ 410,,Magnum,Dodge,Olive
CA,N 061369,,,Toyota,Fuchsia
CA,N 414858,1999,F-150,Ford,Gray
CA,N 865198,2006,,GMC,Teal
CA,N 968323,,Titan,Nissan,Blue
CA,N06-54K,2012,,GMC,Black
CA,N09 4RG,2007,Rabbit,Volkswagen,Lime
CA,N31 1WJ,,C30 1 ton P/U 2WD,Chevrolet,Lime
CA,N38-YRY,,,Subaru,Navy
CA,N41 3QU,,Enclave,Buick,Gray
CA,N49 5AG,1998,Dakota,Dodge,Fuchsia
CA,N82-73L,2006,Avalanche,Chevrolet,Green
CA,N92 0DV,,,Suzuki,Green
CA,N94 7EY,,Frontier,Nissan,Teal
CA,NAX 3734,2011,Evora,Lotus,Green
CA,NB 47318,2011,,GMC,Olive
CA,NCP-3584,2012,Silverado 2500HD,Chevrolet,Black
CA,NCR 645,2006,,Ford,Maroon
CA,ND 0026,,Sedona,Kia,Lime
CA,NEX 407,,F-250 Super Duty,Ford,Maroon
CA,NFA 344,2010,,Chevrolet,Olive
CA,NFO-104,2006,,Honda,White
CA,NFT 081,,,Jeep,Olive
CA,NGC 820,,,Ford,Gray
CA,NGL 947,2008,Express Cargo,Chevrolet,Green
CA,NHU I90,2009,Corvette,Chevrolet,Gray
CA,NI 11856,,Cruze,Chevrolet,Blue
CA,NI 6780,,CR-V,Honda,Gray
CA,NI1 0654,1995,Sierra 2500,GMC,Yellow
CA,NIT 077,1998,Ram Pickup 2500,Dodge,Purple
CA,NJB 669,,Ridgeline,Honda,Gray
CA,NJH-6721,,Outback,Subaru,Black
CA,NLK-966,,,Ford,Lime
CA,NLL 797,2008,Express Cargo,Chevrolet,Purple
CA,NLR3156,2012,Prius,Toyota,Silver
CA,NNI F33,2009,F-150,Ford,Purple
CA,NP3 T1B,2011,,Toyota,Lime
CA,NPJ-7763,2006,Spectra,Kia,Lime
CA,NQO2206,2010,MAZDA3,Mazda,Aqua
CA,NRB L19,2011,,Acura,Olive
CA,NRF7152,,Enclave,Buick,Yellow
CA,NRM 220,2012,Silverado 2500HD,Chevrolet,Silver
CA,NU 20101,,,Chevrolet,Navy
CA,NUG-922,2012,911,Porsche,Gray
CA,NW7 5192,,Charger,Dodge,Teal
CA,NWT-6449,2009,Titan,Nissan,Black
CA,NWZ-873,,,Toyota,Green
CA,NXV-647,2007,,Lexus,Black
CA,O 249292,,,Mitsubishi,Fuchsia
CA,O 402545,2011,Fiesta,Ford,Gray
CA,O46-12Q,2012,Flex,Ford,Black
CA,O49-ONE,,3 Series,BMW,Purple
CA,O58 2NC,,,Suzuki,Black
CA,O68-TJI,2012,Escalade EXT,Cadillac,Black
CA,O77-IRU,2010,Explorer,Ford,Green
CA,O92-21L,2010,Terrain,GMC,Yellow
CA,OA4 1775,2009,,Honda,Maroon
CA,OAS-9940,2012,370Z,Nissan,Silver
CA,OC-6288,2012,Silverado 2500HD,Chevrolet,Navy
CA,ODC 645,,,GMC,Black
CA,OEG 851,2010,Terrain,GMC,Lime
CA,OFS4543,2004,Passat,Volkswagen,Maroon
CA,OGC 921,2009,F-150,Ford,White
CA,OHH Z82,,RAV4,Toyota,Teal
CA,OIL 894,2002,Explorer,Ford,Aqua
CA,OJO 293,,F-350 Super Duty,Ford,Black
CA,OK 3990,,Sorento,Kia,Navy
CA,OKV-3971,,Forester,Subaru,Aqua
CA,OLL-236,,Golf,Volkswagen,Black
CA,OLN 071,2006,,Ford,Purple
CA,OMI 532,,SX4,Suzuki,Lime
CA,OOZ J66,2004,,Chevrolet,Teal
CA,OP-9664,,RX 350,Lexus,Fuchsia
CA,OPV-5691,,F-150,Ford,Blue
CA,OQ7 5632,,M6,BMW,Yellow
CA,OQJ 770,1998,Dakota,Dodge,Black
CA,OQY7361,,,BMW,Navy
CA,ORG-6214,,Frontier,Nissan,Maroon
CA,OSR-714,2007,,GMC,Fuchsia
CA,OSS-998,,,Toyota,Blue
CA,OST 168,2007,,Toyota,White
CA,OTC-8740,,,Toyota,Silver
CA,OTN 084,2007,Sierra 3500HD,GMC,Green
CA,OTT 3189,1998,Dakota,Dodge,Green
CA,OV-1837,,MAZDA6,Mazda,Olive
CA,OVP 292,,Silverado 2500HD,Chevrolet,Navy
CA,OXS 105,2010,599,Ferrari,Fuchsia
CA,OYA-399,,,GMC,Lime
CA,OYJ8359,2012,,Audi,Green
CA,OYQ-607,,MAZDA6,Mazda,Gray
CA,OYX8763,2007,,Ford,Purple
CA,P 709423,1990,RAM 150,Dodge,Fuchsia
CA,P03-OQH,,Tundra,Toyota,Teal
CA,P21 6GD,2009,Navigator,Lincoln,Fuchsia
CA,P23-QDS,,,Mazda,Maroon
CA,P66 0UY,,,Subaru,Maroon
CA,P83-SLV,,Entourage,Hyundai,Silver
CA,P90-DNG,2009,,Nissan,Silver
CA,P96 2RP,2007,tC,Scion,Silver
CA,PAB 587,2011,Titan,Nissan,Green
CA,PAR 238,,F-150,Ford,White
CA,PB 07097,,Titan,Nissan,Teal
CA,PB 9217,2008,,Chevrolet,White
CA,PBO 928,,,Jeep,Olive
CA,PC 7117,,,Acura,Gray
CA,PCY 181,2008,,Buick,Green
CA,PCY-415,2008,,Chevrolet,Purple
CA,PDE-2239,2009,Element,Honda,White
CA,PDS 020,2011,,GMC,Black
CA,PDX 891,,Tahoe,Chevrolet,Lime
CA,PEC-4751,2008,Tundra,Toyota,Lime
CA,PES-5648,2011,,BMW,Teal
CA,PEY-698,,Kizashi,Suzuki,Olive
CA,PFF 234,,Impreza,Subaru,Gray
CA,PG 0098,,Rio,Kia,Black
CA,PHJ 447,,,Toyota,Green
CA,PHJ P18,,F-350 Super Duty,Ford,Fuchsia
CA,PHN 115,,,Honda,Fuchsia
CA,PJP O12,2008,,Mercedes-Benz,Yellow
CA,PJY 009,,,Suzuki,Purple
CA,PKZ 729,,,Ford,Green
CA,PMG1442,,,Porsche,White
CA,PMY-670,,,Audi,Silver
CA,PNL 260,2010,Tacoma,Toyota,Yellow
CA,PNY-0632,2007,Charger,Dodge,Blue
CA,PPL 480,2010,Corolla,Toyota,Aqua
CA,PQT 954,2010,,Mitsubishi,Blue
CA,PTF1343,2009,,Cadillac,Fuchsia
CA,PTR-654,,,Chevrolet,Black
CA,PVT 659,2008,Ridgeline,Honda,Green
CA,PX 6970,2010,Accord,Honda,Maroon
CA,PYD 820,,,Chevrolet,Black
CA,PYN 963,,7 Series,BMW,Lime
CA,PYZ-235,2009,,MINI,Lime
CA,Q 075191,,,Nissan,Fuchsia
CA,Q 234929,2007,,Mazda,White
CA,Q 470756,2010,Terrain,GMC,Purple
CA,Q 877055,,,Ford,Gray
CA,Q 998307,2012,,BMW,Silver
CA,Q44-WVO,,Corolla,Toyota,Aqua
CA,Q50 9GL,,MAZDA6,Mazda,Olive
CA,Q51 3TE,2008,,Chrysler,Fuchsia
CA,Q56 2OI,,4Runner,Toyota,Purple
CA,Q77 0EP,2007,,Subaru,Green
CA,Q78-QEN,2007,F-150,Ford,Yellow
CA,Q84 0HV,,,Chevrolet,Aqua
CA,QAP 613,,3500,Ram,Lime
CA,QAV 915,,,Volkswagen,Teal
CA,QB-5279,2009,Titan,Nissan,Blue
CA,QBK0758,1996,Express,Chevrolet,Black
CA,QC-4359,2010,Frontier,Nissan,Fuchsia
CA,QD6 P4D,,,Lexus,Gray
CA,QEK-340,2010,,Acura,Olive
CA,QEL-2138,2006,Accord,Honda,Olive
CA,QG2 3406,2008,Grand Caravan,Dodge,Purple
CA,QHJ-6845,,F-150,Ford,Green
CA,QJE 182,2011,Acadia,GMC,Gray
CA,QJT 717,2008,GTI,Volkswagen,Silver
CA,QKK-8394,2008,EX35,Infiniti,Olive
CA,QLK-8444,,9-3,Saab,Silver
CA,QMT-7687,2005,XL-7,Suzuki,Gray
CA,QO1 P8P,,,Honda,Lime
CA,QON 890,2008,SX4,Suzuki,White
CA,QP-2110,,,Jaguar,Black
CA,QPJ-4453,2009,,Ford,Purple
CA,QS 64733,2011,,GMC,Silver
CA,QUC 401,2006,,Suzuki,Purple
CA,QW0 U3B,,,Lotus,Olive
CA,QWK0156,2006,,Honda,Blue
CA,QXE-563,,,Toyota,Maroon
CA,QYB-4466,,,Ford,White
CA,QYO 632,,Aventador,Lamborghini,Yellow
CA,QYS-570,,,Ford,Maroon
CA,QZA5454,1986,,Buick,White
CA,QZG 331,,,Scion,Maroon
